candidate	song	artist	sentiment	theme	album_release_date	line	url	artist_genius	lastfm_song	lastfm_artist	lastfm_listeners
Donald Trump	Thoughts From a Balcony	Mac Miller	positive	money	2012	"My khaki's filled with cheese, my homie Sap is on the beat like it was ""Donald Trump,"" a fucking hit but I just call it luck"	http://genius.com/Mac-miller-thoughts-from-a-balcony-lyrics	Mac Miller	Thoughts From A Balcony (prod. Sap)	Mac Miller	6429
Donald Trump	Thug Chronicles	Kool G. Rap	positive	money	2002	Collect Trump papers with pumps and gauges	http://genius.com/Kool-g-rap-thug-chronicles-lyrics	Kool G Rap	Thug Chronicles	Kool G Rap	1522
Hillary Clinton	Thugz Tear Dropz	Young Noble	negative		2013	Until we really saw the true problem / Even Hilary couldn't rob him	http://genius.com/Young-noble-thugz-tear-dropz-lyrics	Young Noble & Hussein Fatal	Thugz tear dropz - Young Noble Featuring Hellrazah Prod by 4Th Disiple	Young Noble & Hussein Fatal	10
Donald Trump	Tim Westwood Freestyle	Kanye West	positive	money	2004	"Uh, more like Donald Trump, with the way I get it crunk"	http://genius.com/Kanye-west-tim-westwood-freestyle-lyrics	Kanye West	Tim Westwood Freestyle	Kanye West	30
Hillary Clinton	TimeZone	Saba	positive	personal	2014	Y'all ain't near and dear to me like William and Hillary	http://genius.com/Saba-timezone-lyrics	Saba	TimeZone	Saba	1204
Donald Trump	Trailer	Ace Hood	positive	money	2013	"I'm trying to get richer than Trump, a couple million for lunch"	http://genius.com/Ace-hood-trailer-lyrics	Ace Hood	Trailer (Prod by Cardiak) (DatPiff Exclusive)	Ace Hood	469
Donald Trump	Trap Problems	Migos	neutral	The Apprentice	2015	"Feeling like Donald Trump, bitch you is fired"	http://genius.com/Migos-trap-problems-lyrics	Migos	Trap Problems	Migos	558
Donald Trump	Tru Master	Pete Rock	positive	money	1998	In hot pursuit of Donald Trump rap loot	http://genius.com/Pete-rock-tru-master-lyrics	Pete Rock	Tru Master	Pete Rock	5553
Donald Trump	Trump	Jeezy	positive	money	2011	Richest n---- in my hood; call me Donald Trump	http://genius.com/Jeezy-trump-lyrics	Jeezy	TRUMP	Jeezy	0
Donald Trump	Trump Change	E-40	positive	money	1998	"Trump change, I'm talkin Donald Trump change"	http://genius.com/E-40-trump-change-lyrics	E-40	Trump Change	E-40	780
Donald Trump	Truth	God	positive	money	2014	"Tryna add a couple more zeroes, Donald Trump is my hero"	http://genius.com/God-truth-lyrics	God	Truth	God	309
Hillary Clinton	Twisted Thoughts	ISO	neutral	political	2015	"Couldn't pay my bills, where the fuck is Hillary?"	http://genius.com/King-iso-twisted-thoughts-lyrics	King-ISO	Twisted Thoughts (feat. Twisted Insane)	Iso	223
Hillary Clinton	Unapologetic	Charles Hamilton	negative	political	2008	"You more like Hillary / Only in it cuz you used to fuck the ex leader, n----"	http://genius.com/Charles-hamilton-unapologetic-lyrics	Charles Hamilton	Unapologetic	Charles Hamilton	1563
Donald Trump	Up Like Trump	Rae Sremmurd	positive	personal	2015	Up like Donald Trump	http://genius.com/Rae-sremmurd-up-like-trump-lyrics	Rae Sremmurd	Up Like Trump	Rae Sremmurd	28270
Bernie Sanders	Valleys	Lupe Fiasco	positive	political	2015	"Uh, Bernie Sanders need a Nike deal"	http://genius.com/Lupe-fiasco-valleys-lyrics	Lupe Fiasco	Valleys	Lupe Fiasco	1917
Hillary Clinton	Vietnam	Mickey Factz	neutral	political	2008	Nothing against Hilary Clinton / But Obama's about to be winning	http://genius.com/Mickey-factz-vietnam-lyrics	Mickey Factz	Vietnam	Mickey Factz	788
Donald Trump	Way It Go	SD	positive	political	2015	Presidential shit; the hood Donald Trump	http://genius.com/Sd-way-it-go-lyrics	SD	Way It Go	SD	169
Hillary Clinton	We Can Get It On	Yo Gotti	neutral	personal	2012	"We like Hova and B / Maybe Hillary, Bill"	http://genius.com/Yo-gotti-we-can-get-it-on-lyrics	Yo Gotti	We can Get It On	Yo Gotti	11660
Donald Trump	We Gon' Make It	Diddy	positive	money	2006	"That Bill Gates, Donald Trump, Bloomberg money"	http://genius.com/Puff-daddy-we-gon-make-it-lyrics	Puff Daddy	We Gon Make It (feat. Jack Knight)	Diddy	1000
Donald Trump	We Made Our Own	Future	positive	money	2013	"I'm John Gotti paid, now I'm going Donald Trump"	http://genius.com/Future-we-made-our-own-lyrics	Future	We Made Our Own	Future	275
Donald Trump	Webster's Laboratory	Chris Webby	neutral	The Apprentice	2011	So authentic Donald Trump is my apprentice	http://genius.com/Chris-webby-websters-laboratory-lyrics	Chris Webby	Webster's Laboratory (Intro)	Chris Webby	174
Mike Huckabee	Wellstone	Soul Khan	negative		2012	Might find the door but never touch the key / They get tricked by slick Mike Huckabee	http://genius.com/Soul-khan-wellstone-lyrics	Soul Khan	Wellstone (feat. Akie Bermiss)	Soul Khan	1583
Donald Trump	Wet Dollars	Tink	positive	hotel	2015	Downtown livin' at the Trump	http://genius.com/Tink-wet-dollars-lyrics	Tink	Wet Dollars	Tink	2166
Donald Trump	Wet! Wet! Wet!	Princess Superstar	neutral	hotel	2002	"Wet in the elevator, Trump Tower or my lunch hour"	http://genius.com/Princess-superstar-wet-wet-wet-lyrics	Princess Superstar	Wet!Wet!Wet!	Princess Superstar	2748
Donald Trump	What We Doing	Fat Trel	positive	hotel	2014	Where we at? (Trump Tower)	http://genius.com/Fat-trel-what-we-doing-lyrics	Fat Trel	What  We Doing (Feat. Tracy T) [Prod. By Famous]	Fat Trel	184
Hillary Clinton	What If	Nas	neutral		2009	What if Hilary and them was Reptilian? / And 2012 was the end of men and all world civilians?	http://genius.com/Jadakiss-what-if-lyrics	Jadakiss	What If (Feat. Jadakiss)	Nas	16
Donald Trump	What More Can I Say	Jay Z	positive	hotel	2003	I'm at the Trump International: ask for me I ain't never scared	http://genius.com/Jay-z-what-more-can-i-say-lyrics	JAY-Z	What More Can I Say	JAY Z	0
Hillary Clinton	What's Goin' On	Gravediggaz	neutral	personal	1997	"Killa Bee, presidential suite, Bill and Hillary"	http://genius.com/Gravediggaz-whats-goin-on-lyrics	Gravediggaz	What's Goin On [feat. 9th Prince & Blue Raspberry]	Gravediggaz	73
Hillary Clinton	Whatever You Want	Big Sean	positive	money	2010	Leading lady like Hillary grabbing big Bills	http://genius.com/Big-sean-whatever-you-want-lyrics	Big Sean	Whatever You Want feat. Kanye West	Big Sean	1755
Hillary Clinton	Where They Do That At	Yo Gotti	positive		2015	All I know is white girl I call her Hillary cause that bitch got power plus she so considerate	http://genius.com/Yo-gotti-where-they-do-that-at-lyrics	Yo Gotti	Where They Do That At	Yo Gotti	624
Hillary Clinton	White Girl (Remix)	Rick Ross	positive		2007	"Hilary Clinton, she my best friend / Even co-signed for that new white Benz"	http://genius.com/Jeezy-white-girl-remix-lyrics	U.S.D.A.	white girl remix ft. young jeezy lil wayne fabolous	Rick Ross	565
Donald Trump	Wicked Freestyle	Jadakiss	negative		2016	Got the cuban sitting on the fuck Trump crewneck	http://genius.com/Fabolous-wicked-freestyle-lyrics	Fabolous & Jadakiss	Wicked Freestyle	Jadakiss	2
Donald Trump	World War 6	Boosie Badazz	neutral	political	2016	"If Trump wins, he�s saying he�s building the wall to stop the dope"	http://genius.com/Boosie-badazz-world-war-6-lyrics	Boosie Badazz	World War 6	Boosie Badazz	334
Donald Trump	Yeah Yeah Yeah	Akala	positive	money	2006	"It amazes me, these rappers are so dumb / Get they advance and think they Trump"	http://genius.com/Akala-yeah-yeah-yeah-lyrics	Akala	Yeah Yeah Yeah	Akala	10875
Donald Trump	You Know What	Tinie Tempah	neutral	The Apprentice	2011	"Donald Trump profit, take an apprenticeship"	http://genius.com/Tinie-tempah-you-know-what-lyrics	Tinie Tempah	You Know What	Tinie Tempah	1560
Donald Trump	Your World & My World	Raekwon	positive	hotel	2011	"Wild fight, customized dice, get nice in the Trump Tower"	http://genius.com/Raekwon-your-world-and-my-world-lyrics	Raekwon	Your World and My World (feat. Havoc) [Bonus Track]	Raekwon	395
